Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Simeon Woods Richardson,2000,4,2022,2025,2.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,8,4.29,98.0,1.33,35,33,0,167.66666666666666,151,MIN
Angel Zerpa,1999,5,2021,2025,1.3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,5,3.92,111.0,1.348,89,6,0,121.66666666666667,100,KCR
Mitchell Parker,1999,2,2024,2025,1.8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,11,3.97,101.0,1.269,35,35,0,188.33333333333334,153,WSN
Adrian Del Castillo,1999,1,2024,2024,0.5,0,25,80,12,25,4,19,1,7,0.313,0.368,0.525,0.893,146,0,0,0.0,0.0,0.0,0,0,0,0.0,0,ARI
Alex Call,1994,4,2022,2025,3.3,0,224,637,84,152,16,74,18,91,0.239,0.341,0.369,0.709,101,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CLE,WSN"
Luis Guillorme,1994,7,2018,2024,3.2,0,411,882,90,221,5,58,8,114,0.251,0.336,0.322,0.658,87,0,0,9.0,63.0,1.833,6,0,0,6.0,0,"ANA,ARI,ATL,NYM"
Pedro Payano,1994,1,2019,2019,-0.1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,1,2,5.73,92.0,1.864,6,4,0,22.0,17,TEX
Cameron Perkins,1990,1,2017,2017,-0.8,0,42,88,9,16,1,8,0,5,0.182,0.237,0.273,0.51,35,0,0,0.0,0.0,0.0,0,0,0,0.0,0,PHI
Mike Miller,1989,1,2016,2016,0.0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0.0,0.0,0.0,0,0,0,0.0,0,BOS
David Hale,1987,8,2013,2021,1.8,0,81,44,2,3,0,1,0,0,0.068,0.067,0.068,0.135,-64,13,12,4.44,95.0,1.44,118,23,3,273.6666666666667,186,"ATL,COL,MIN,NYY,PHI"
Grant Green,1987,5,2013,2017,-1.6,0,129,330,36,82,4,38,1,17,0.249,0.283,0.336,0.62,75,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,OAK,SFG,WSN"
Matt Shoemaker,1986,9,2013,2021,6.0,0,4,6,0,0,0,0,0,1,0.0,0.143,0.0,0.143,-55,46,41,4.24,94.0,1.225,128,115,0,662.6666666666666,580,"ANA,MIN,TOR"
Vin Mazzaro,1986,8,2009,2016,-0.5,0,75,18,0,3,0,1,0,0,0.167,0.167,0.167,0.333,-7,24,23,4.79,85.0,1.554,140,45,1,383.0,233,"FLA,KCR,OAK,PIT,SFG"
Pedro Ciriaco,1985,6,2010,2015,0.8,0,272,612,70,164,5,51,35,20,0.268,0.294,0.368,0.661,81,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,BOS,KCR,PIT,SDP"
John Lannan,1984,8,2007,2014,6.2,0,145,247,8,26,1,11,0,16,0.105,0.16,0.138,0.297,-19,46,58,4.18,98.0,1.436,153,148,0,862.0,450,"NYM,PHI,WSN"
Mike Esposito,1981,1,2005,2005,-0.1,0,3,5,0,1,0,0,0,0,0.2,0.2,0.2,0.4,1,0,2,6.75,72.0,2.045,3,3,0,14.666666666666666,5,COL
Jon Garland,1979,13,2000,2013,22.5,1,102,175,12,24,1,7,0,10,0.137,0.187,0.166,0.353,-4,136,125,4.37,103.0,1.387,365,342,1,2151.3333333333335,1156,"ANA,ARI,CHW,COL,LAD,SDP"
Jon Rauch,1978,11,2002,2013,6.2,0,400,21,2,2,1,3,0,0,0.095,0.095,0.238,0.333,-16,43,40,3.9,109.0,1.24,556,11,62,595.0,475,"ARI,CHW,FLA,MIN,NYM,TOR,WSN"
Vicente Padilla,1977,14,1999,2012,11.4,1,224,251,13,27,0,17,0,16,0.108,0.17,0.132,0.301,-18,108,91,4.32,100.0,1.377,386,237,6,1571.3333333333333,1121,"ARI,BOS,LAD,PHI,TEX"
Bo Hart,1976,2,2003,2004,1.1,0,88,309,46,84,4,30,3,13,0.272,0.313,0.385,0.698,84,0,0,0.0,0.0,0.0,0,0,0,0.0,0,STL
Jason Phillips,1976,7,2001,2007,-1.7,0,465,1382,138,344,30,168,0,111,0.249,0.314,0.37,0.684,80,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"LAD,NYM,TOR"
Radhames Dykhoff,1974,1,1998,1998,-0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,18.0,34.0,3.0,1,0,0,1.0,1,BAL
Dan Rohrmeier,1965,1,1997,1997,0.1,0,7,9,4,3,0,2,0,2,0.333,0.455,0.333,0.788,113,0,0,0.0,0.0,0.0,0,0,0,0.0,0,SEA
Don Schulze,1962,6,1983,1989,-1.6,0,17,7,2,0,0,1,0,3,0.0,0.3,0.0,0.3,-9,15,25,5.47,75.0,1.556,76,59,0,338.6666666666667,144,"CHC,CLE,NYM,NYY,SDP"
Bob Veselic,1955,2,1980,1981,0.6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,3.38,122.0,1.425,6,0,0,26.666666666666668,15,MIN
Len Matuszek,1954,7,1981,1987,1.8,0,379,820,113,192,30,119,8,88,0.234,0.309,0.405,0.714,98,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"LAD,PHI,TOR"
Doug Konieczny,1951,4,1973,1977,-1.6,0,44,65,2,9,0,4,0,3,0.139,0.177,0.169,0.346,0,7,18,4.93,70.0,1.588,44,38,0,221.0,110,HOU
Mike Schmidt HOF,1949,18,1972,1989,106.9,12,2404,8352,1506,2234,548,1595,174,1507,0.268,0.38,0.527,0.908,148,0,0,0.0,0.0,0.0,0,0,0,0.0,0,PHI
Carlos López,1948,3,1976,1978,1.6,0,237,500,61,130,12,54,23,25,0.26,0.298,0.384,0.682,90,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,BAL,SEA"
Gary Sutherland,1944,13,1966,1978,-3.9,0,1031,3104,308,754,24,239,11,207,0.243,0.291,0.308,0.599,70,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"DET,HOU,MIL,PHI,SDP,STL,WSN"
Gene Rounsaville,1944,1,1970,1970,-0.3,0,8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,9.95,41.0,1.895,8,0,0,6.333333333333333,3,CHW
Alex George,1938,1,1955,1955,-0.3,0,5,10,0,1,0,0,0,1,0.1,0.182,0.1,0.282,-22,0,0,0.0,0.0,0.0,0,0,0,0.0,0,OAK
Dave Wickersham,1935,10,1960,1969,7.5,0,283,324,9,28,0,10,0,9,0.086,0.111,0.096,0.207,-42,68,57,3.66,101.0,1.296,283,124,19,1123.0,638,"DET,KCR,OAK,PIT"
Jerry Casale,1933,5,1958,1962,0.9,0,96,116,13,25,4,15,0,10,0.216,0.278,0.379,0.657,74,17,24,5.08,81.0,1.566,96,49,1,370.3333333333333,207,"ANA,BOS,DET"
Dick Hall,1930,19,1952,1971,15.9,0,669,714,79,150,4,56,6,61,0.21,0.271,0.259,0.53,44,93,75,3.32,111.0,1.102,495,74,71,1259.6666666666667,741,"BAL,OAK,PHI,PIT"
Thornton Kipper,1928,3,1953,1955,-0.2,0,55,16,0,2,0,1,0,0,0.125,0.125,0.125,0.25,-34,3,4,5.27,78.0,1.758,55,3,0,99.0,35,PHI
Perry Currin,1928,1,1947,1947,0.0,0,3,2,0,0,0,0,0,1,0.0,0.333,0.0,0.333,-3,0,0,0.0,0.0,0.0,0,0,0,0.0,0,BAL
Tom Kirk,1927,1,1947,1947,0.0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0.0,0.0,0.0,0,0,0,0.0,0,OAK
Jerry Scala,1924,3,1948,1950,-0.4,0,80,193,26,43,1,19,3,27,0.223,0.321,0.306,0.627,67,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CHW
Bill Ayers,1919,1,1947,1947,-1.1,0,13,8,0,2,0,2,0,0,0.25,0.25,0.375,0.625,63,0,3,8.15,50.0,1.698,13,4,1,35.333333333333336,22,SFG
Charley Davidson,1916,4,1940,1948,-1.1,0,21,40,0,1,0,2,0,2,0.025,0.071,0.025,0.096,-72,2,9,5.6,71.0,1.706,20,10,0,99.66666666666667,23,"BEG,NBY"
Harry Chozen,1915,1,1937,1937,0.0,0,1,4,0,1,0,0,0,0,0.25,0.25,0.25,0.5,39,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CIN
Alphonse Dunn,1911,3,1937,1943,-0.1,0,60,202,30,51,1,22,5,23,0.253,0.341,0.327,0.667,97,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BBB,DTS,NYC"
Dick Lanahan,1911,4,1935,1941,-0.7,0,56,42,4,5,0,2,0,2,0.119,0.159,0.119,0.278,-23,6,13,5.15,77.0,1.658,56,13,2,152.0,62,"MIN,PIT"
Walter Murphy,1907,1,1931,1931,0.0,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,9.0,56.0,2.5,2,0,0,2.0,0,BOS
Whit Wyatt,1907,16,1929,1945,24.1,4,366,607,53,133,7,69,0,26,0.219,0.254,0.303,0.557,50,106,95,3.79,106.0,1.321,360,210,13,1761.0,872,"CHW,CLE,DET,LAD,PHI"
Josh Billings,1907,3,1927,1929,0.0,0,39,68,11,17,0,6,0,5,0.25,0.301,0.324,0.625,62,10,15,5.03,83.0,1.604,39,25,0,197.0,67,DET
John Smith,1906,1,1931,1931,-0.1,0,4,15,2,2,0,1,1,2,0.133,0.235,0.133,0.369,2,0,0,0.0,0.0,0.0,0,0,0,0.0,0,BOS
Marty Lang,1905,1,1930,1930,-0.3,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,54.0,11.0,7.2,2,0,0,1.6666666666666665,2,PIT
Bill Clarkson,1898,3,1927,1929,-1.3,0,53,25,1,2,0,0,0,4,0.08,0.207,0.08,0.287,-21,3,12,5.44,73.0,1.866,51,10,2,134.0,39,"ATL,SFG"
John Stephens,1897,1,1921,1921,0.9,0,16,39,7,10,0,4,0,4,0.256,0.341,0.308,0.649,84,5,0,2.78,140.0,1.346,8,5,0,35.666666666666664,18,ABC
Chick Gagnon,1897,2,1922,1924,-0.1,0,14,9,3,2,0,1,0,0,0.222,0.222,0.222,0.444,17,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"DET,MIN"
Jelly Gardner,1895,12,1920,1931,9.4,0,670,2402,457,678,3,225,132,340,0.282,0.373,0.331,0.704,91,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CAG,DS,DYM,NLG"
Mike Loan,1894,1,1912,1912,0.0,0,1,2,1,1,0,0,0,0,0.5,0.5,0.5,1.0,168,0,0,0.0,0.0,0.0,0,0,0,0.0,0,PHI
Doug Baird,1891,6,1915,1920,6.5,0,617,2106,230,492,6,191,118,157,0.234,0.291,0.326,0.616,88,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"LAD,PHI,PIT,SFG,STL"
Frank Gibson,1890,8,1913,1927,1.1,0,471,1155,121,317,8,146,12,55,0.275,0.31,0.378,0.688,86,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,DET"
